Price,Close,High,Low,Open,Volume,Log_Return
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,
Date,,,,,,
2018-01-01,772.6409912109375,782.530029296875,742.0040283203125,755.7570190429688,2595760128,
2018-01-02,884.4439697265625,914.8300170898438,772.3460083007812,772.3460083007812,5783349760,0.13514465974787557
2018-01-03,962.719970703125,974.4710083007812,868.4509887695312,886.0,5093159936,0.08480341627994366
2018-01-04,980.9219970703125,1045.0799560546875,946.0859985351562,961.7130126953125,6502859776,0.018730361673503358
2018-01-05,997.719970703125,1075.3900146484375,956.3250122070312,975.75,6683149824,0.016979703746571467
2018-01-06,1041.6800537109375,1060.7099609375,994.6220092773438,995.1539916992188,4662219776,0.043117478521551726
2018-01-07,1153.1700439453125,1153.1700439453125,1043.010009765625,1043.010009765625,5569880064,0.10167986398366087
2018-01-08,1148.530029296875,1266.9300537109375,1016.0499877929688,1158.260009765625,8450970112,-0.004031820642391285
2018-01-09,1299.739990234375,1320.97998046875,1145.489990234375,1146.0,7965459968,0.12368134760985788
2018-01-10,1255.8199462890625,1417.3800048828125,1226.5999755859375,1300.3399658203125,9214950400,-0.034375534046981966
2018-01-11,1154.9300537109375,1337.300048828125,1135.1700439453125,1268.0899658203125,7235899904,-0.083748920321997
2018-01-12,1273.199951171875,1296.0400390625,1120.0899658203125,1158.2900390625,5222300160,0.09749359549276614
2018-01-13,1396.4200439453125,1432.8800048828125,1270.469970703125,1270.469970703125,5746760192,0.0923784720847535
2018-01-14,1366.77001953125,1400.56005859375,1286.2099609375,1397.47998046875,4841630208,-0.021461543929788246
2018-01-15,1291.9200439453125,1390.5899658203125,1290.5999755859375,1365.2099609375,4781100032,-0.056320788275874584
2018-01-16,1053.68994140625,1292.6300048828125,875.5449829101562,1292.6300048828125,8405139968,-0.2038312843512961
2018-01-17,1014.25,1090.22998046875,780.9219970703125,1061.3399658203125,8545160192,-0.038148810498464185
2018-01-18,1036.280029296875,1100.31005859375,967.7589721679688,1016.4400024414062,5938319872,0.021487982757907597
2018-01-19,1039.0999755859375,1093.219970703125,1003.7100219726562,1028.8199462890625,4084450048,0.002717524518743902
2018-01-20,1155.1500244140625,1167.1099853515625,1044.949951171875,1044.949951171875,3975190016,0.1058752964251322
2018-01-21,1049.5799560546875,1155.6800537109375,1021.5,1155.6800537109375,3378089984,-0.09584018452753812
2018-01-22,1003.260009765625,1089.0999755859375,930.7410278320312,1055.3499755859375,3810099968,-0.04513533482427692
2018-01-23,986.22900390625,1023.22998046875,920.5399780273438,1004.1699829101562,3556699904,-0.01712140331800685
2018-01-24,1058.780029296875,1062.43994140625,965.8079833984375,987.4769897460938,3944039936,0.07098402541777941
2018-01-25,1056.030029296875,1104.6600341796875,1034.739990234375,1063.219970703125,4050190080,-0.002600707840248035
2018-01-26,1055.1700439453125,1080.5999755859375,996.7839965820312,1052.699951171875,3617690112,-0.0008146886787546303
2018-01-27,1107.0699462890625,1121.97998046875,1042.1199951171875,1055.75,3002870016,0.048014904141533296
2018-01-28,1246.010009765625,1257.77001953125,1111.780029296875,1111.780029296875,5372329984,0.11822961667606485
2018-01-29,1182.3599853515625,1256.699951171875,1169.0799560546875,1246.699951171875,3715079936,-0.05243402510166151
2018-01-30,1071.1300048828125,1184.6300048828125,1058.969970703125,1184.1300048828125,4107859968,-0.09879825820701822
2018-01-31,1118.31005859375,1128.6600341796875,1034.5,1071.0899658203125,3757560064,0.04310449900718177
2018-02-01,1036.7900390625,1161.3499755859375,984.8189697265625,1119.3699951171875,5261680128,-0.07568923036724218
2018-02-02,915.7849731445312,1035.77001953125,757.97998046875,1035.77001953125,6713290240,-0.1241031265244571
2018-02-03,964.0189819335938,991.9429931640625,847.6900024414062,919.2109985351562,3243480064,0.051329393577471516
2018-02-04,834.6820068359375,969.031982421875,805.0640258789062,964.6669921875,2997090048,-0.14406016303912625
2018-02-05,697.9509887695312,856.64599609375,644.5989990234375,834.9580078125,4269530112,-0.17890193854553665
2018-02-06,793.1220092773438,796.4390258789062,574.4190063476562,707.7369995117188,6518269952,0.12782818401833046
2018-02-07,757.0679931640625,851.2000122070312,723.4329833984375,790.427978515625,3896179968,-0.046523999009708265
2018-02-08,817.8070068359375,845.0859985351562,755.843017578125,755.843017578125,3708189952,0.07717330715965874
2018-02-09,883.864990234375,884.0040283203125,788.833984375,818.47998046875,2495820032,0.07767794919184422
2018-02-10,860.4149780273438,917.4000244140625,825.5770263671875,882.4669799804688,2930530048,-0.02688951953855484
2018-02-11,814.6599731445312,859.2880249023438,788.2219848632812,859.2880249023438,2486650112,-0.05464399013748608
2018-02-12,868.7069702148438,875.93701171875,817.5079956054688,817.5079956054688,2243450112,0.0642350496457784
2018-02-13,845.2579956054688,870.708984375,828.8369750976562,869.2930297851562,2081170048,-0.02736396396477533
2018-02-14,923.5609741210938,926.4290161132812,844.2789916992188,844.2789916992188,2818370048,0.08859492149652262
2018-02-15,936.9760131835938,951.947998046875,911.1110229492188,923.72802734375,2900100096,0.014420859824017617
2018-02-16,944.2100219726562,950.0050048828125,917.8480224609375,934.7860107421875,2369449984,0.007690939983400131
2018-02-17,974.114990234375,976.594970703125,940.7540283203125,944.7479858398438,2525720064,0.031180734159380465
2018-02-18,923.9210205078125,982.9329833984375,915.4450073242188,973.3489990234375,2567290112,-0.052902764115374874
