asset,run_id,start,end,duration_days,side,run_return,run_log_return,max_abs_daily_return
BTC,1,2019-02-18,2019-02-18,1,-1,-0.06583804009467542,-0.06810545117658069,0.06583804009467542
BTC,2,2019-02-24,2019-02-26,3,-1,0.0674159988444083,0.06524077341734158,0.08016830712779921
BTC,3,2019-03-02,2019-03-03,2,1,-0.0032148438327759266,-0.0032200225453572423,0.0044610264783262465
BTC,4,2019-03-20,2019-03-24,5,-1,0.011944732065941599,0.011873956790890724,0.014226238767748978
BTC,5,2019-05-06,2019-05-31,26,1,0.4794570774054858,0.3916751808830332,0.12947827227172803
BTC,6,2019-06-19,2019-06-29,11,1,0.3168557134753982,0.27524685979305297,0.14085680731712602
BTC,7,2019-07-03,2019-07-04,2,1,0.03830513886822051,0.03758970962468387,0.1073529339969792
BTC,8,2019-09-06,2019-09-06,1,1,-0.021013642005712985,-0.021237571181720684,0.021013642005712985
BTC,9,2019-10-10,2019-10-24,15,1,-0.1282322912034689,-0.1372322795558119,0.06975948008239763
BTC,10,2019-10-26,2019-10-27,2,1,0.10288020926064956,0.09792512989536653,0.0674624969992299
BTC,11,2019-10-29,2019-10-29,1,1,0.018532445072405368,0.018362811918533402,0.018532445072405368
BTC,12,2019-11-04,2019-11-06,3,1,0.013591832423020422,0.013500292003988274,0.01919339562438549
BTC,13,2020-01-10,2020-01-10,1,1,0.03648690303834745,0.0358370170573265,0.03648690303834745
BTC,14,2020-01-13,2020-01-25,13,1,0.021404167353072046,0.02117831526329461,0.08393344808628167
BTC,15,2020-01-29,2020-02-12,15,1,0.10337720317939869,0.09837566112019382,0.047104093835473426
BTC,16,2020-03-25,2020-04-01,8,1,-0.019009810715356235,-0.01919282019599275,0.08574723804008189
BTC,17,2020-04-04,2020-04-05,2,1,0.00857550378800509,0.008538943024682062,0.01992164308903499
BTC,18,2020-04-11,2020-04-13,3,1,-0.0029794751691436527,-0.00298392264157144,0.018082418492216368
BTC,19,2020-06-01,2020-06-10,10,-1,-0.051265676232608914,-0.05262647344712715,0.07464386293982206
BTC,20,2020-07-22,2020-07-25,4,-1,-0.03174363206802633,-0.032258383865319665,0.016050921443329758
BTC,21,2020-08-02,2020-08-15,14,1,0.00902288631879089,0.008982423293413425,0.060034265575901635
BTC,22,2020-09-23,2020-09-23,1,1,-0.027733979972724532,-0.028125828810467837,0.027733979972724532
BTC,23,2020-10-01,2020-10-01,1,1,-0.015303370300178809,-0.015421675401221661,0.015303370300178809
BTC,24,2020-10-09,2020-10-09,1,-1,-0.013629236597062944,-0.013722967268208352,0.013629236597062944
BTC,25,2020-10-14,2020-10-19,6,-1,-0.027798647746751448,-0.028192343450901144,0.02252631185070797
BTC,26,2020-11-05,2020-11-27,23,1,0.2104681599755014,0.19100719384929873,0.10231863433740651
BTC,27,2020-12-18,2021-01-16,30,1,0.5864013792792764,0.4614681676628575,0.10003249550509552
BTC,28,2021-02-10,2021-02-12,3,1,0.02202499453112794,0.021785947970841085,0.0665910372634968
BTC,29,2021-02-14,2021-02-25,12,1,-0.00024761564214381693,-0.0002476463039586055,0.09930198541853996
BTC,30,2021-03-12,2021-03-14,3,1,0.025900738276662727,0.025570995749308476,0.06821652767950437
BTC,31,2021-04-14,2021-04-14,1,1,-0.00620063437737306,-0.006219938149170958,0.00620063437737306
BTC,32,2021-06-03,2021-06-12,10,1,-0.05382979081728445,-0.055332800974554175,0.11569117681725527
BTC,33,2021-06-21,2021-06-26,6,1,-0.09838059063566995,-0.10356278879936814,0.11265533282181261
BTC,34,2021-06-28,2021-06-28,1,1,-0.006213875976586625,-0.006233262455755746,0.006213875976586625
BTC,35,2021-07-13,2021-07-16,4,1,-0.052307774234300775,-0.053725485804698415,0.031734999531688124
BTC,36,2021-07-26,2021-07-27,2,-1,-0.10852726747326169,-0.11488042820757062,0.05621887171744144
BTC,37,2021-07-29,2021-07-29,1,-1,-0.00031292265067750513,-0.00031297162118641274,0.00031292265067750513
BTC,38,2021-08-02,2021-08-03,2,-1,0.046611234447030636,0.04555754913018645,0.02675797936526192
BTC,39,2021-08-18,2021-08-25,8,1,0.0954333905610305,0.09115007543077251,0.056115872471717454
BTC,40,2021-10-10,2021-10-26,17,1,0.09815799114047774,0.09363422266375167,0.07453440740995654
BTC,41,2022-02-07,2022-02-15,9,-1,-0.05278490978159711,-0.05422908358318134,0.04668769779745485
BTC,42,2022-03-25,2022-03-25,1,1,0.008821397620525806,0.008782716407665668,0.008821397620525806
BTC,43,2022-03-27,2022-03-29,3,1,0.06662577908486966,0.06450018829494242,0.052126312256127294
BTC,44,2022-03-30,2022-04-02,4,-1,0.03329485790366937,0.03275258784300608,0.03238210822970233
BTC,45,2022-05-23,2022-05-29,7,1,-0.02894649957560802,-0.02937371393431827,0.04039123144227663
BTC,46,2022-05-31,2022-06-05,6,1,-0.0573569347088313,-0.059067577767044806,0.06269536357891181
BTC,47,2022-06-12,2022-06-13,2,1,-0.20709640386660877,-0.23205363329548986,0.15974726027617203
BTC,48,2022-06-28,2022-07-12,15,1,-0.06807484341686809,-0.07050277161644442,0.053013857820514154
BTC,49,2022-07-18,2022-07-18,1,1,0.08211740099467768,0.07891967823012867,0.08211740099467768
BTC,50,2022-07-28,2022-08-02,6,1,0.0020744535916494833,0.0020723048838807313,0.0398306162434614
BTC,51,2022-08-10,2022-08-16,7,1,0.031037937102043944,0.030566000771085074,0.033815983988709775
BTC,52,2022-09-13,2022-09-17,5,1,-0.10026052784827899,-0.10565003295089022,0.09270006906083372
BTC,53,2022-10-10,2022-10-12,3,1,-0.014860338449887989,-0.014971859485321658,0.01568110303046133
BTC,54,2022-10-25,2022-10-25,1,-1,-0.03878330120960949,-0.03955540241347766,0.03878330120960949
BTC,55,2022-10-27,2022-11-07,12,-1,0.004120896563959864,0.004112428924587621,0.0463751969796804
BTC,56,2022-11-28,2022-12-07,10,1,0.024536889839469778,0.024240695700553323,0.044000289316970864
BTC,57,2022-12-14,2022-12-15,2,-1,0.023323115092362956,0.023055287629380486,0.02530276169357326
BTC,58,2023-01-08,2023-01-11,4,-1,-0.055669416060688315,-0.057278979289575614,0.02800615102017323
BTC,59,2023-03-19,2023-03-19,1,1,0.039783493752593824,0.03901251239696352,0.039783493752593824
BTC,60,2023-03-21,2023-03-21,1,1,0.014714466837708162,0.014607259457310753,0.014714466837708162
BTC,61,2023-03-23,2023-03-23,1,1,0.03759177902540278,0.03690243092144147,0.03759177902540278
BTC,62,2023-03-26,2023-03-27,2,1,-0.012904969635490926,-0.012988962152561779,0.03052194511765327
BTC,63,2023-03-29,2023-04-03,6,1,0.01914652113276416,0.018965533043041143,0.0396180637553154
BTC,64,2023-04-13,2023-04-16,4,1,0.005849644178561597,0.005832601440391973,0.00862713483952482
BTC,65,2023-06-04,2023-06-05,2,1,-0.04856971335403093,-0.04978886172359198,0.05011119223804861
BTC,66,2023-06-21,2023-06-21,1,1,0.06000562340273241,0.05827421320682117,0.06000562340273241
BTC,67,2023-06-23,2023-06-26,4,1,0.011996731589136056,0.011925341205054776,0.02618280743799839
BTC,68,2023-06-30,2023-07-08,9,1,-0.005019174981812813,-0.005031813347744308,0.019821224171432172
BTC,69,2023-08-12,2023-08-12,1,1,0.0006207965516027425,0.0006206039371356436,0.0006207965516027425
BTC,70,2023-09-19,2023-09-23,5,-1,0.005842341623540248,0.005825341327936186,0.02080107760178318
BTC,71,2023-10-03,2023-10-03,1,-1,0.003661597010505613,0.0036549096833986654,0.003661597010505724
BTC,72,2023-10-05,2023-10-05,1,-1,0.01379463216164356,0.013700352271571367,0.01379463216164356
BTC,73,2023-10-07,2023-10-09,3,1,-0.012986193394237233,-0.013071251190806306,0.012579594744121514
BTC,74,2023-10-11,2023-10-11,1,1,-0.018900326735168282,-0.019081220842271783,0.018900326735168282
BTC,75,2023-10-17,2023-10-17,1,1,-0.0036367703063566736,-0.0036433994327744555,0.0036367703063566736
BTC,76,2023-10-20,2023-11-13,25,1,0.27098193680441973,0.2397897803080748,0.10309890521346299
BTC,77,2023-12-05,2023-12-10,6,1,0.04286796989458841,0.04197458113583994,0.05003682455553493
BTC,78,2023-12-13,2023-12-14,2,1,0.03796722669142771,0.03726421073024082,0.03475299863154757
BTC,79,2024-01-10,2024-01-11,2,1,0.004960052137820803,0.004947791604425828,0.010577584004972662
BTC,80,2024-03-05,2024-03-16,12,1,-0.04412818093333892,-0.04513145539453032,0.06628402455760396
BTC,81,2024-05-08,2024-05-08,1,1,-0.018398626419713127,-0.018569986258493817,0.018398626419713127
BTC,82,2024-05-10,2024-05-11,2,1,-0.03578511336805701,-0.03644109776873162,0.035799920573900024
