asset,n_days,exposure_rate,total_return,total_log_return,invested_day_avg_return,invested_day_median_return,invested_day_win_rate,flat_day_avg_asset_abs_return,run_count,avg_run_duration_days,median_run_duration_days,max_run_duration_days,positive_run_count,positive_run_log_return_sum,top_1_positive_run_share,top_3_positive_run_share,top_5_positive_run_share,top_1_run_log_return,top_3_run_log_return_sum,filter_agreement_rate,blocked_exposure_days,blocked_exposure_rate,trend_signal_blocked_by_vol_days,vol_signal_blocked_by_trend_days,opposite_signal_days,missed_return_if_trend_signal_followed,missed_return_if_vol_signal_followed,signal_change_events,confirmed_signal_change_events,avg_days_until_combined_confirms,median_days_until_combined_confirms,unconfirmed_within_30d_events,missed_return_until_confirm_sum,vol_regime_change_count,avg_underexposed_days_after_vol_regime_change_5d,underexposed_share_after_vol_regime_change_5d
BTC,2921,0.18829168093118795,2.990073551242149,1.383809664627145,0.0031031439717902655,0.0009370567534058294,0.5181818181818182,0.01783254795848491,105,5.238095238095238,3.0,30,58,3.294684781579461,0.14006443658674722,0.34248806278760213,0.48750179603776905,0.4614681676628575,1.1283902083389437,0.18829168093118795,1033,0.3536460116398494,440,238,355,-0.5040959185830967,-0.45448139637710927,327,169,1.1538461538461537,0.0,158,4.136397512737451,41,3.951219512195122,0.7902439024390244
ETH,2921,0.21670660732625813,43.1569080154995,3.7877493817525263,0.0069733590089716725,0.0015669139841998359,0.5276461295418642,0.023593477972468524,98,6.459183673469388,4.0,42,62,5.691071785623723,0.10564224626705092,0.2542788093327443,0.37011231201044237,0.6012176071003266,1.4471189574755756,0.21670660732625813,1011,0.34611434440260186,471,228,312,-0.5251006440779684,-0.812730440994728,303,161,1.5217391304347827,0.0,142,3.7356351366188907,32,3.5625,0.7125
