asset,date,source,target_position,days_until_combined_confirms,missed_directional_return_until_confirm
BTC,2022-01-31,trend_position,1,,0.15840969305770547
BTC,2022-02-07,trend_position,-1,0,-0.033665872045371525
BTC,2022-03-24,trend_position,-1,,0.06708094418503219
BTC,2022-03-25,trend_position,1,0,0.008821397620525806
BTC,2022-03-26,trend_position,-1,,0.07687743732449714
BTC,2022-03-27,trend_position,1,0,0.052126312256127294
BTC,2022-03-30,trend_position,-1,0,0.008491735032190473
BTC,2022-04-03,trend_position,1,,-0.1769932870062646
BTC,2022-04-11,trend_position,1,,-0.3144290082038549
BTC,2022-04-25,trend_position,1,,-0.251003524397279
BTC,2022-05-23,trend_position,1,0,-0.04039123144227663
BTC,2022-05-31,trend_position,1,0,0.0020777630413166825
BTC,2022-06-12,trend_position,1,0,-0.056351073137826724
BTC,2022-06-28,trend_position,1,0,-0.02193553187871977
BTC,2022-07-18,trend_position,1,0,0.08211740099467768
BTC,2022-07-19,trend_position,-1,,-0.04920359805623675
BTC,2022-07-28,trend_position,1,0,0.0398306162434614
BTC,2022-08-10,trend_position,1,0,0.033815983988709775
BTC,2022-08-19,trend_position,1,,-0.1634116740522149
BTC,2022-09-11,trend_position,1,,-0.12126640791406762
BTC,2022-09-12,trend_position,-1,,0.11368285815906876
BTC,2022-09-13,trend_position,1,0,-0.09270006906083372
BTC,2022-10-04,trend_position,-1,,-0.03631433095339154
BTC,2022-10-10,trend_position,1,0,-0.01568110303046133
BTC,2022-10-25,trend_position,-1,0,-0.03878330120960949
BTC,2022-10-26,trend_position,1,,-0.17784837690526056
BTC,2022-10-27,trend_position,-1,0,0.02333149591150141
BTC,2022-11-10,trend_position,1,,0.07858205418438069
BTC,2022-11-23,trend_position,1,,0.037504153013296904
BTC,2022-11-28,trend_position,1,0,-0.013822428939733733
BTC,2022-12-13,trend_position,1,,0.09665861341866977
BTC,2022-12-14,trend_position,-1,0,-0.0019307922256450727
BTC,2023-01-08,trend_position,-1,0,-0.008025112314249405
BTC,2023-01-12,trend_position,1,,0.21945922682375407
BTC,2023-02-12,trend_position,1,,0.13146246863694278
BTC,2023-03-11,trend_position,1,,0.4688969064913653
BTC,2023-03-17,trend_position,-1,,-0.1907804454347497
BTC,2023-03-19,trend_position,1,0,0.039783493752593824
BTC,2023-03-20,trend_position,-1,,-0.041409845839966875
BTC,2023-03-21,trend_position,1,0,0.014714466837708162
BTC,2023-03-22,trend_position,-1,,0.01657753346936186
BTC,2023-03-23,trend_position,1,0,0.03759177902540278
BTC,2023-03-24,trend_position,-1,,0.012559864681253918
BTC,2023-03-26,trend_position,1,0,0.018171608313816145
BTC,2023-03-28,trend_position,-1,,-0.09210703297462963
BTC,2023-03-29,trend_position,1,0,0.0396180637553154
BTC,2023-04-13,trend_position,1,0,0.00862713483952482
BTC,2023-04-17,trend_position,-1,,0.09115170164417008
BTC,2023-05-28,trend_position,-1,,-0.1424348019176287
BTC,2023-06-04,trend_position,1,0,0.001622799291266075
BTC,2023-06-14,trend_position,1,,0.1703532579188154
BTC,2023-06-20,trend_position,-1,,-0.10962683204416157
BTC,2023-06-21,trend_position,1,0,0.06000562340273241
BTC,2023-06-22,trend_position,-1,,0.002970206767038075
BTC,2023-06-23,trend_position,1,0,0.02618280743799839
BTC,2023-06-27,trend_position,-1,,0.030236814609190255
BTC,2023-06-30,trend_position,1,0,0.0010477918298796851
BTC,2023-07-24,trend_position,1,,-0.12142112032732799
BTC,2023-08-03,trend_position,1,,-0.11262228236564575
BTC,2023-08-12,trend_position,1,0,0.0006207965516027425
BTC,2023-08-15,trend_position,1,,-0.0975491798798479
BTC,2023-08-31,trend_position,1,,-0.01206529671870682
BTC,2023-09-19,trend_position,-1,0,-0.017075246134672373
BTC,2023-10-01,trend_position,1,,0.28551947543569
BTC,2023-10-03,trend_position,-1,0,0.003661597010505613
BTC,2023-10-04,trend_position,1,,0.26621769677892115
BTC,2023-10-05,trend_position,-1,0,0.01379463216164356
BTC,2023-10-06,trend_position,1,1,0.020168132001923134
