strategy,slug,position_col,cumulative_pnl,average_daily_pnl,max_drawdown,annualised_return,sharpe_ratio_rf_3pct,daily_std_dev,annualised_volatility,exposure_rate,total_turnover,number_of_trades_total,number_of_complete_trades,win_rate,average_trade_return,median_trade_return,average_win_return,average_loss_return,profit_factor,payoff_ratio,expectancy_per_trade,best_trade,worst_trade,average_holding_periods,median_holding_periods,long_trades,short_trades,category
BTC Rolling Trend Strength,btc_rolling_trend_strength,position,2.947452677845421,0.0007231003732779365,-0.6572312851706228,0.18717323830784838,0.5452150105725785,0.022500429968311336,0.42987011096026695,0.46045874700445055,394.0,242,242,0.5289256198347108,0.009655921149791547,0.0041064490689179944,0.06070936692855658,-0.047667246040400776,1.430015553242885,1.2736076021069445,0.009655921149791547,0.5864013794550487,-0.2070964040200889,5.5578512396694215,3.0,165,77,rolling_window
BTC Rolling Volatility Filter,btc_rolling_vol,position,-0.6749339375537466,-0.0001998170930973231,-0.8253468924557908,-0.14857782136189002,-0.24452052206794317,0.021939840586735086,0.41916006586331916,0.44823529411764707,169.0,85,84,0.42857142857142855,-0.0020782293120463918,-0.013447493245493547,0.11246215086306763,-0.08798351444338193,0.9586638324339547,1.2782184432452728,-0.0020782293120463918,0.5864013792792764,-0.31889700631436924,13.452380952380953,12.0,63,21,rolling_window
ETH Rolling Trend Strength,eth_rolling_trend_strength,position,82.06164810712737,0.002032696089220787,-0.6989060508326411,0.7371724372085042,1.1551896258679855,0.03227813196264449,0.6166728452706756,0.484765491270113,371.0,225,225,0.6666666666666666,0.02681987912390348,0.014529094115528052,0.07898116067968744,-0.07750268398766441,2.0381529158979412,1.0190764579489704,0.02681987912390348,0.82433877703713,-0.3323720864483247,6.293333333333333,4.0,164,61,rolling_window
ETH Rolling Volatility Filter,eth_rolling_vol,position,-0.5448134932514792,0.00010854429403086076,-0.9371245704118119,-0.10654195009721801,0.018206365877753445,0.028918168421309034,0.5524808319460198,0.46,154.0,78,76,0.39473684210526316,0.010744085593382666,-0.017965609138887284,0.18330156036082113,-0.10179339795059895,1.1743835876812738,1.8007215011112867,0.010744085593382666,0.8243387764345278,-0.37502446553310587,14.894736842105264,12.0,56,20,rolling_window
