date,price,log_return,position_macd,position_boll,vol_ratio,sma_slope,regime,position,strategy_source,trade,trade_action
2019-01-01,140.8194122314453,0.0543641639227531,1,-1,1.2229298928393701,2.51130561828613,Trend,1,macd,0,hold
2019-01-02,155.0476837158203,0.0962544013024016,1,-1,1.2106221526773489,3.4254184722900476,Trend,1,macd,0,hold
2019-01-03,149.135009765625,-0.0388807049960208,1,-1,1.2202002289865228,3.241335678100583,Trend,1,macd,0,hold
2019-01-04,154.58193969726562,0.0358723082884526,1,-1,1.1893155984344792,3.507056427001956,Trend,1,macd,0,hold
2019-01-05,155.6385955810547,0.006812314789194,1,-1,1.1200131191078355,3.518824768066395,Trend,1,macd,0,hold
2019-01-06,157.74620056152344,0.0134507913762172,1,-1,1.1201060054063756,3.1306186676025334,Trend,1,macd,0,hold
2019-01-07,151.69921875,-0.0390876795686435,1,-1,1.128166987555131,2.529338073730486,Trend,1,macd,0,hold
2019-01-08,150.35963439941406,-0.0088697491827996,1,-1,1.1297956154535813,2.454552841186512,Trend,1,macd,0,hold
2019-01-09,150.80311584472656,0.0029451302693207,1,-1,1.1761445506265753,1.7293121337890796,Trend,1,macd,0,hold
2019-01-10,128.62518310546875,-0.1590724997470101,1,0,1.2523362739851311,0.9564476013183594,Trend,1,macd,0,hold
2019-01-11,127.54832458496094,-0.0084073085711343,1,0,1.2547116327807502,0.5394412994384652,Trend,1,macd,0,hold
2019-01-12,125.9665298461914,-0.0124790736199508,1,0,1.2438271358469586,-0.239936447143549,Trend,1,macd,0,hold
2019-01-13,116.8978042602539,-0.0747161502812666,1,0,1.2703761899128245,-1.1670101165771598,Trend,1,macd,0,hold
2019-01-14,129.0687255859375,0.0990449337361137,1,0,1.276653717614417,-0.03878097534177982,Trend,1,macd,0,hold
2019-01-15,122.03271484375,-0.0560558557342146,1,0,1.289983742880841,-0.49164581298828125,Trend,1,macd,0,hold
2019-01-16,123.54706573486328,0.0123330192927021,1,0,1.251315942923721,0.3485576629638558,Trend,1,macd,0,hold
2019-01-17,123.7419204711914,0.001575927659741,0,0,1.2402246984377856,-0.6952548980712834,Trend,0,macd,-1,sell
2019-01-18,121.01026153564452,-0.022322762115071,0,0,1.2432460650175272,-0.8504039764404467,Trend,0,macd,0,hold
2019-01-19,124.5190200805664,0.0285831278871913,0,0,1.1704845699294786,-0.7670215606689226,Trend,0,macd,0,hold
2019-01-20,119.4748306274414,-0.0413527491447536,0,0,1.1599611185286338,-0.6946712493896712,Trend,0,macd,0,hold
2019-01-21,117.15785217285156,-0.0195835374585708,0,0,1.1448782545433864,-1.1830780029296761,Trend,0,macd,0,hold
2019-01-22,118.74755096435548,0.0134776298795428,0,0,1.0872906511137483,-1.8150066375732479,Trend,0,macd,0,hold
2019-01-23,117.45260620117188,-0.0109649185072884,0,0,1.0621373114288606,-1.584120178222662,Trend,0,macd,0,hold
2019-01-24,117.36288452148438,-0.0007641888001316,0,0,1.0378651277006141,-1.8609527587890398,Trend,0,macd,0,hold
2019-01-25,116.37834167480467,-0.0084242620379519,0,0,1.0363975765592208,-1.9630126953125,Trend,0,macd,0,hold
2019-01-26,116.48873901367188,0.0009481576082926,0,0,0.9646844599800248,-2.062873077392595,Trend,0,macd,0,hold
2019-01-27,113.40528869628906,-0.0268265797673766,0,0,0.8101106839836241,-1.914696502685544,Trend,0,macd,0,hold
2019-01-28,106.58997344970705,-0.061978578126583,0,0,0.8233123560283447,-2.1884830474853487,Trend,0,macd,0,hold
2019-01-29,105.59821319580078,-0.0093479989782887,0,1,0.8204228401210291,-2.260245132446286,Trend,0,macd,0,hold
2019-01-30,108.90753936767578,0.030857808934199,0,1,0.8185945463011812,-0.9858821868896541,Trend,0,macd,0,hold
2019-01-31,107.0610122680664,-0.0171003795010935,0,1,0.7959511980832578,-1.0243656158447294,Trend,0,macd,0,hold
2019-02-01,107.60978698730467,0.0051127206546168,0,1,0.7244672714730397,-0.9178371429443359,Trend,0,macd,0,hold
2019-02-02,110.43025970458984,0.0258725870914372,0,1,0.7293027137924194,-0.32337722778319744,Trend,0,macd,0,hold
2019-02-03,107.49266815185548,-0.0269615458106394,0,1,0.7159962669364095,-1.0788028717040987,Trend,0,macd,0,hold
2019-02-04,107.82160186767578,0.0030553847795015,0,1,0.7180045793012056,-0.7105556488037195,Trend,0,macd,0,hold
2019-02-05,107.44351959228516,-0.0035127164270272,0,1,0.713929717882373,-0.8051773071289006,Trend,0,macd,0,hold
2019-02-06,104.9192886352539,-0.0237739354481133,0,1,0.7099259829633873,-0.941131591796875,Trend,0,macd,0,hold
2019-02-07,104.5353012084961,-0.0036665499402511,0,1,0.7103392783589242,-0.8237480163574276,Trend,0,macd,0,hold
2019-02-08,119.26774597167967,0.1318461069092444,0,0,0.8123991506158932,-0.26256370544433594,Trend,0,macd,0,hold
2019-02-09,119.4308853149414,0.0013669066117692,0,0,0.6644550510066942,-0.002197265625,Trend,0,macd,0,hold
2019-02-10,124.80648803710938,0.0440266035725222,1,-1,0.675904384393246,0.382431793212902,Trend,1,macd,1,buy
2019-02-11,121.29839324951172,-0.0285108722867033,1,-1,0.6797409937376846,0.12754211425780682,Trend,1,macd,0,hold
2019-02-12,122.5722885131836,0.0104473964757024,1,-1,0.6571513217867433,0.2559841156005831,Trend,1,macd,0,hold
2019-02-13,122.55360412597656,-0.0001524472754963,1,-1,0.5809476037315962,0.2595359802246122,Trend,1,macd,0,hold
2019-02-14,121.39020538330078,-0.0095383241367598,1,-1,0.5565568271999464,0.2505931854248047,Trend,1,macd,0,hold
2019-02-15,122.1003875732422,0.0058333605020428,1,-1,0.5554253125061496,0.2805824279785156,Trend,1,macd,0,hold
2019-02-16,123.26021575927734,0.0094541406332644,1,-1,0.5564567916315616,0.49274635314941406,Trend,1,macd,0,hold
2019-02-17,133.598876953125,0.0805441590548174,1,-1,0.624985645743311,1.3504451751709041,Trend,1,macd,0,hold
2019-02-18,146.09837341308594,0.0894383302862888,1,-1,0.689738400739898,2.025008010864255,Trend,1,macd,0,hold
2019-02-19,145.34619140625,-0.0051617615678139,1,-1,0.6756847258949138,1.821932601928708,Trend,1,macd,0,hold
2019-02-20,149.55433654785156,0.0285413582202804,1,-1,0.6797394001766527,2.124666213989258,Trend,1,macd,0,hold
2019-02-21,146.13084411621094,-0.0231573690221621,1,-1,0.6872918501566585,1.9260528564453097,Trend,1,macd,0,hold
2019-02-22,149.0924530029297,0.0200641905293867,1,-1,0.6945742208668352,1.9331096649169979,Trend,1,macd,0,hold
2019-02-23,158.79542541503906,0.0630501377143073,1,-1,0.713104384563358,2.5651378631591797,Trend,1,macd,0,hold
2019-02-24,135.8526611328125,-0.1560458167492375,1,-1,0.8663627465918816,1.401552963256833,Trend,1,macd,0,hold
2019-02-25,139.82286071777344,0.0288054164398565,1,-1,0.8686803466151277,1.618967056274414,Trend,1,macd,0,hold
2019-02-26,138.0896759033203,-0.0124730413801466,1,-1,0.8804805180798146,1.6585193634033146,Trend,1,macd,0,hold
2019-02-27,136.12596130371094,-0.0143226563513964,1,-1,0.8558388314004085,1.5795330047607479,Trend,1,macd,0,hold
2019-02-28,136.74624633789062,0.0045463486951966,1,-1,0.8563221485662729,0.8739250183105582,Trend,1,macd,0,hold
2019-03-01,136.44361877441406,-0.002215511817316,1,-1,0.8567905405922082,0.8506366729736214,Trend,1,macd,0,hold
2019-03-02,134.2069549560547,-0.0165284315243565,1,0,0.8567661560693954,0.47002334594725426,Trend,1,macd,0,hold
2019-03-03,132.24942016601562,-0.0146933621497746,1,0,0.8666043624558651,0.5475513458252124,Trend,1,macd,0,hold
2019-03-04,127.7741241455078,-0.0344256363824253,1,0,0.8725055396636665,0.26009178161621094,Trend,1,macd,0,hold
2019-03-05,137.8223876953125,0.0757017605480012,1,0,0.8959446489498192,0.7634391784667969,Trend,1,macd,0,hold
2019-03-06,138.7893524169922,0.0069915229206522,1,0,0.917775433448126,0.869957351684576,Trend,1,macd,0,hold
2019-03-07,138.0345001220703,-0.0054536786403134,1,0,0.9181763276710688,0.7967056274413835,Trend,1,macd,0,hold
2019-03-08,135.1270751953125,-0.0212880213581805,1,0,0.9165345961692848,0.5933429718017749,Trend,1,macd,0,hold
2019-03-09,137.96533203125,0.0207868029934538,1,0,0.9173000264311465,0.21832275390625,Trend,1,macd,0,hold
2019-03-10,136.75868225097656,-0.0087845071930463,0,0,0.8160566225134395,-0.4669845581054801,Trend,0,macd,-1,sell
2019-03-11,133.8340301513672,-0.0216174779233685,0,0,0.8216106516143973,-0.5756080627441236,Trend,0,macd,0,hold
2019-03-12,134.44288635253906,0.0045390207584504,0,0,0.8098629392542274,-0.755572509765642,Trend,0,macd,0,hold
2019-03-13,133.26307678222656,-0.0088142766408027,0,0,0.8073505568625814,-0.6433883666992131,Trend,0,macd,0,hold
2019-03-14,133.7115936279297,0.0033599986618827,0,0,0.8084543790110875,-0.76904296875,Trend,0,macd,0,hold
2019-03-15,137.69178771972656,0.0293325709338049,0,0,0.8124205585040348,-1.0551818847656307,Trend,0,macd,0,hold
2019-03-16,142.39817810058594,0.033609439629618,0,-1,0.815889819160455,0.3272758483886662,Trend,0,macd,0,hold
2019-03-17,140.00054931640625,-0.0169808583683473,0,-1,0.8364439538696767,0.008884429931640625,Trend,0,macd,0,hold
2019-03-18,139.37460327148438,-0.0044810505625141,0,-1,0.842237616636702,0.06424636840822018,Trend,0,macd,0,hold
2019-03-19,140.51919555664062,0.0081788068929322,0,-1,0.7963228453645816,0.21966171264648438,Trend,0,macd,0,hold
2019-03-20,140.6863555908203,0.0011888816076838,1,-1,0.759751233091951,0.197005462646473,Trend,1,macd,1,buy
2019-03-21,136.6360626220703,-0.0292120703082341,1,-1,0.7712056447192132,0.009622192382806816,Trend,1,macd,0,hold
2019-03-22,137.1814422607422,0.003983531732952,0,-1,0.769637633513092,0.14872436523438637,Trend,0,macd,-1,sell
2019-03-23,138.2398681640625,0.0076859057279317,0,-1,0.7894079266636709,0.29952239990234375,Trend,0,macd,0,hold
2019-03-24,136.98692321777344,-0.0091048810737401,0,0,0.7943242433195589,0.46063995361328125,Trend,0,macd,0,hold
2019-03-25,135.03102111816406,-0.0143809322051033,0,0,0.762045413668044,-0.13956832885742188,Trend,0,macd,0,hold
2019-03-26,135.46035766601562,0.0031744960621804,0,0,0.464350740851165,-0.16644973754881676,Range,0,boll,0,hold
2019-03-27,140.9881591796875,0.0399968752385286,0,0,0.49496437331835874,0.14768295288084232,Range,0,boll,0,hold
2019-03-28,139.41647338867188,-0.0112102445384725,0,0,0.535686571111747,0.21446990966796875,Range,0,boll,0,hold
2019-03-29,142.49742126464844,0.021858238292164,0,0,0.5386627933104801,0.22660446166992188,Range,0,boll,0,hold
2019-03-30,142.09268188476562,-0.0028443691349785,0,0,0.5390853369782548,0.2666999816894702,Range,0,boll,0,hold
2019-03-31,141.51409912109375,-0.0040801814702809,0,0,0.543362737586747,0.38400344848631107,Range,0,boll,0,hold
2019-04-01,141.830322265625,0.0022320769491301,1,0,0.5425120680455193,0.36937179565430256,Trend,1,macd,1,buy
2019-04-02,163.9617462158203,0.1450017163340849,1,-1,0.7991038774543961,1.5349334716796932,Trend,1,macd,0,hold
2019-04-03,161.45880126953125,-0.0153831362137014,1,-1,0.7875870664889377,1.387360382080061,Trend,1,macd,0,hold
2019-04-04,158.0525360107422,-0.0213225254647177,1,-1,0.7384826237434259,1.018037414550804,Trend,1,macd,0,hold
2019-04-05,165.5148468017578,0.0461334154094087,1,-1,0.7550026853708753,1.1558334350585824,Trend,1,macd,0,hold
2019-04-06,165.94720458984375,0.0026087935646482,1,-1,0.7538769220908531,1.297332763671875,Trend,1,macd,0,hold
2019-04-07,174.53164672851562,0.0504363886796394,1,-1,0.7648353577793553,1.7578521728515568,Trend,1,macd,0,hold
2019-04-08,180.25881958007807,0.0322876228674456,1,-1,0.7679354848243525,1.9869812011718864,Trend,1,macd,0,hold
2019-04-09,176.1145782470703,-0.0232589086884999,1,-1,0.7751032382379042,1.7714111328124886,Trend,1,macd,0,hold
2019-04-10,177.3374786376953,0.0069197801880923,1,-1,0.8327769883140215,2.0350708007812557,Trend,1,macd,0,hold
2019-04-11,165.4970245361328,-0.0691013601549414,1,-1,0.8922447065872455,1.4157791137695312,Trend,1,macd,0,hold
2019-04-12,164.736328125,-0.0046070316669574,1,-1,0.8914240723470627,1.3248229980468693,Trend,1,macd,0,hold
2019-04-13,164.5133514404297,-0.0013544536714691,1,-1,0.9116109550304338,1.3763214111328068,Trend,1,macd,0,hold
2019-04-14,167.83851623535156,0.020010573573662,1,-1,0.9383224129559189,1.6403747558593977,Trend,1,macd,0,hold
2019-04-15,161.5741729736328,-0.03803799165051,1,-1,0.9588596876769973,1.3056907653808594,Trend,1,macd,0,hold
2019-04-16,167.62344360351562,0.0367557439619372,1,-1,0.9613886471019966,1.3317642211914062,Trend,1,macd,0,hold
2019-04-17,166.9507598876953,-0.0040211386007477,1,-1,0.9610779649147355,1.3767143249511662,Trend,1,macd,0,hold
2019-04-18,173.81402587890625,0.0402869928668733,1,-1,0.9726281575557653,1.5658302307128906,Trend,1,macd,0,hold
2019-04-19,173.70843505859375,-0.0006076776924114,1,-1,0.9751720099914127,1.5807876586914062,Trend,1,macd,0,hold
2019-04-20,173.7512664794922,0.0002465403667002,1,-1,0.9668233056444843,1.6118583679199219,Trend,1,macd,0,hold
2019-04-21,170.04652404785156,-0.0215527030300034,1,-1,0.9769281230594363,1.4108100891113224,Trend,1,macd,0,hold
2019-04-22,171.87466430664062,0.0106934448149932,1,-1,0.9772485784700312,0.395645904541027,Trend,1,macd,0,hold
2019-04-23,171.4477996826172,-0.0024866700478856,1,-1,0.9757886700975404,0.4994499206542855,Trend,1,macd,0,hold
2019-04-24,165.8260955810547,-0.0333392230053229,1,0,0.9850260047318782,0.3886779785156307,Trend,1,macd,0,hold
2019-04-25,154.4593963623047,-0.0710083671591309,0,1,1.032702337295487,-0.5527725219726562,Trend,0,macd,-1,sell
2019-04-26,156.3470916748047,0.0121472272728844,0,1,1.018483459795297,-0.4800056457519588,Trend,0,macd,0,hold
2019-04-27,158.4349365234375,0.0132655315664076,0,1,1.020083000634901,-0.8048355102538949,Trend,0,macd,0,hold
2019-04-28,157.29507446289062,-0.0072205173609573,0,1,1.0344632375857812,-1.1481872558593977,Trend,0,macd,0,hold
2019-04-29,155.20199584960938,-0.0133960290377622,0,1,1.0367016879370639,-1.0456291198730412,Trend,0,macd,0,hold
2019-04-30,162.16603088378906,0.0438932248759286,0,1,1.0509895948319465,-0.7585723876952954,Trend,0,macd,0,hold
2019-05-01,160.81834411621094,-0.0083452618351948,0,1,1.0540060368007134,-0.2339340209961165,Trend,0,macd,0,hold
2019-05-02,162.12278747558594,0.0080785649525936,0,1,0.7885506738847196,-0.13067703247068607,Trend,0,macd,0,hold
2019-05-03,167.95240783691406,0.0353266570694818,0,0,0.8015045067086422,0.17195281982421307,Trend,0,macd,0,hold
2019-05-04,164.02658081054688,-0.0236521597809201,0,0,0.8037687309078053,-0.190596771240223,Trend,0,macd,0,hold
2019-05-05,163.45069885253906,-0.0035170840079819,0,0,0.7721433719718709,0.0938262939453125,Trend,0,macd,0,hold
2019-05-06,172.65321350097656,0.0547736276728361,0,0,0.8088502385715121,0.2514884948730298,Trend,0,macd,0,hold
2019-05-07,169.7986602783203,-0.0166716526208977,0,0,0.7768367905458416,0.14239501953125,Trend,0,macd,0,hold
2019-05-08,170.9481658935547,0.006747003273955,0,0,0.7607939804020107,-0.14329299926757244,Trend,0,macd,0,hold
2019-05-09,170.289306640625,-0.00386159273056,0,0,0.8047006059040209,-0.17095642089844887,Trend,0,macd,0,hold
2019-05-10,173.1427459716797,0.0166175811045805,0,0,0.8082687182134078,-0.030426025390625,Trend,0,macd,0,hold
2019-05-11,194.3043365478516,0.1153092994641433,0,-1,0.8862979248021426,1.212890625,Trend,0,macd,0,hold
2019-05-12,187.3253173828125,-0.0365789044215167,1,-1,0.9062792342311885,0.7725326538086108,Trend,1,macd,1,buy
2019-05-13,196.8462829589844,0.0495763640667339,1,-1,0.9247574116439626,1.2699241638183594,Trend,1,macd,0,hold
2019-05-14,217.1485748291016,0.0981586612828088,1,-1,0.9920071334318143,2.5661239624023438,Trend,1,macd,0,hold
2019-05-15,247.15306091308597,0.1294260286276389,1,-1,1.0592104656752233,4.634683227539057,Trend,1,macd,0,hold
2019-05-16,264.010009765625,0.0659791936906226,1,-1,1.0678885104840314,5.38314590454101,Trend,1,macd,0,hold
2019-05-17,243.76458740234372,-0.0797840643659378,1,-1,1.1162865293692024,4.2664825439453296,Trend,1,macd,0,hold
2019-05-18,234.59523010253903,-0.0383413498715377,1,-1,1.1419185826951723,3.865007781982399,Trend,1,macd,0,hold
2019-05-19,261.2922058105469,0.107777739603553,1,-1,1.2034073633284403,5.304510498046881,Trend,1,macd,0,hold
2019-05-20,251.86441040039065,-0.0367484548307507,1,-1,1.2150203347659618,4.484918975830084,Trend,1,macd,0,hold
2019-05-21,255.21588134765625,0.0132188917787407,1,-1,1.2074874327027088,4.71987686157226,Trend,1,macd,0,hold
2019-05-22,244.69891357421875,-0.0420812499091785,1,-1,1.2250930381416651,4.128806304931658,Trend,1,macd,0,hold
2019-05-23,245.96566772460935,0.0051634334862808,1,-1,1.224635956656696,3.90066299438476,Trend,1,macd,0,hold
2019-05-24,249.4849853515625,0.0142067703315108,1,-1,1.220455535909034,4.272920227050776,Trend,1,macd,0,hold
2019-05-25,251.75987243652344,0.0090770116400979,1,-1,1.269469277498047,4.415458679199219,Trend,1,macd,0,hold
2019-05-26,267.06964111328125,0.059033706460942,1,-1,1.27443594302529,4.720821380615234,Trend,1,macd,0,hold
2019-05-27,272.8626403808594,0.0214590672449382,1,-1,1.2752557413043,5.1531990051269645,Trend,1,macd,0,hold
2019-05-28,271.7687072753906,-0.0040171561232824,1,-1,1.27552819618411,5.041027069091797,Trend,1,macd,0,hold
2019-05-29,269.4556884765625,-0.0085474080586366,1,-1,1.271861379766961,4.958319091796852,Trend,1,macd,0,hold
2019-05-30,255.85894775390625,-0.051777648298095,1,-1,1.2904258798505885,4.135810089111345,Trend,1,macd,0,hold
2019-05-31,268.1135559082031,0.046784299548876,1,-1,1.288799663835101,3.690460968017561,Trend,1,macd,0,hold
2019-06-01,265.3912658691406,-0.0102053947972954,1,-1,1.2950923318757808,3.9032974243164062,Trend,1,macd,0,hold
2019-06-02,270.2255249023437,0.0180516757177754,1,-1,1.2998848330642032,3.6689620971679915,Trend,1,macd,0,hold
2019-06-03,252.60792541503903,-0.0674183029837707,1,0,1.3393872468772758,1.7729675292968636,Trend,1,macd,0,hold
2019-06-04,241.3387908935547,-0.0456368671189218,1,0,1.352424396923275,-0.29071350097655113,Trend,1,macd,0,hold
2019-06-05,247.05101013183597,0.0233931163965656,0,0,1.3384155240187603,-0.8479499816894531,Trend,0,macd,-1,sell
2019-06-06,249.47433471679688,0.0097612089755813,0,0,1.3352960844941701,0.2854873657226449,Trend,0,macd,0,hold
2019-06-07,250.93035888671875,0.0058194029656703,0,0,1.3363153782331436,0.816756439208973,Trend,0,macd,0,hold
2019-06-08,245.73809814453125,-0.0209091188896015,0,0,1.3406962421134136,-0.7777053833007699,Trend,0,macd,0,hold
2019-06-09,233.08670043945312,-0.0528558378677355,0,0,1.3598866805928633,-0.9388854980468864,Trend,0,macd,0,hold
2019-06-10,247.52012634277344,0.0600814080170287,0,0,1.2782919374900763,-0.38478775024412926,Trend,0,macd,0,hold
2019-06-11,245.7818298339844,-0.0070476254228264,0,0,1.263937948314797,0.05414581298828125,Trend,0,macd,0,hold
2019-06-12,260.9032897949219,0.0597055296362165,0,0,1.2598205049970042,0.7468811035156193,Trend,0,macd,0,hold
2019-06-13,256.1687927246094,-0.0183132276860091,0,0,1.1967540550936562,0.33419036865237217,Trend,0,macd,0,hold
2019-06-14,264.08746337890625,0.0304437751694283,0,0,1.0621858904274826,0.6163795471190952,Trend,0,macd,0,hold
2019-06-15,269.0193176269531,0.0185028408069903,0,0,1.0260223438626874,0.09748382568363922,Trend,0,macd,0,hold
2019-06-16,269.22320556640625,0.0007576062478138,0,0,0.9577901600533307,-0.18197174072270172,Trend,0,macd,0,hold
2019-06-17,274.3511047363281,0.0188678942267948,0,0,0.9402011776279933,0.129119873046875,Trend,0,macd,0,hold
2019-06-18,265.0518493652344,-0.0344832254079272,0,0,0.8250386588532169,-0.22019195556640625,Trend,0,macd,0,hold
