strategy,slug,position_col,cumulative_pnl,average_daily_pnl,max_drawdown,annualised_return,sharpe_ratio_rf_3pct,daily_std_dev,annualised_volatility,exposure_rate,total_turnover,number_of_trades_total,number_of_complete_trades,win_rate,average_trade_return,median_trade_return,average_win_return,average_loss_return,profit_factor,payoff_ratio,expectancy_per_trade,best_trade,worst_trade,average_holding_periods,median_holding_periods,long_trades,short_trades,category
BTC Trend Strength,btc_trend_strength,position,153.22950636758102,0.0019445897638625833,-0.4508605661749143,0.8768401873454483,1.6921077879628625,0.02104126844427133,0.4019928691861577,0.40534063676823007,428.0,246,246,0.5853658536585366,0.024735570478463923,0.00538095340575373,0.06545367642796125,-0.03274881439141467,2.8216346749781596,1.9986578947761964,0.024735570478463923,0.6582437957479899,-0.2070964040200889,4.813008130081301,2.0,176,70,trend_strength
BTC Volatility Filter,btc_vol_filter,position,4.39876123256859,0.0008447939938227595,-0.696761018587652,0.23454074377496648,0.6284221786104796,0.023220895149417182,0.4436345789184863,0.4922971585073605,155.0,78,77,0.45454545454545453,0.03647417010641951,-0.013087744298712956,0.17512569274193016,-0.07906876542317272,1.845710837950831,2.214853005540997,0.03647417010641951,0.5864013792792764,-0.27679954028239806,18.25974025974026,17.0,70,7,volatility_filter
ETH Trend Strength,eth_trend_strength,position,4950.680001721652,0.0033585751229238112,-0.53553732725634,1.8952492630688114,2.092541432599602,0.029924495439709396,0.5717066826373763,0.4409448818897638,422.0,256,255,0.6588235294117647,0.04088918082964417,0.016619037216249355,0.0883162318945789,-0.05069409019229876,3.3641335415789078,1.7421405840319342,0.04088918082964417,0.7338739899005087,-0.3208112495258486,5.043137254901961,2.0,186,69,trend_strength
ETH Volatility Filter,eth_vol_filter,position,10.960596320261368,0.0013185864576668281,-0.6044097013395404,0.36355601412476624,0.7700939652599251,0.030703159481509777,0.5865830382679537,0.49914412872304004,139.0,70,69,0.43478260869565216,0.06368180502546579,-0.0245530585770255,0.2822718352770844,-0.10446437209116394,2.0785285608464266,2.7020871291003545,0.06368180502546579,0.8243387764345278,-0.37998953474799024,20.681159420289855,19.0,62,7,volatility_filter
